,Decoration Material Price,term,fetch_date,Minimum Income Guaranteed
123,0.0,Decoration Material Price,2025-11-01,
124,0.0,Decoration Material Price,2025-11-01,
125,0.0,Decoration Material Price,2025-11-01,
126,0.0,Decoration Material Price,2025-11-01,
127,0.0,Decoration Material Price,2025-11-01,
128,0.0,Decoration Material Price,2025-11-01,
129,0.0,Decoration Material Price,2025-11-01,
130,0.0,Decoration Material Price,2025-11-01,
131,0.0,Decoration Material Price,2025-11-01,
132,0.0,Decoration Material Price,2025-11-01,
133,0.0,Decoration Material Price,2025-11-01,
134,0.0,Decoration Material Price,2025-11-01,
135,0.0,Decoration Material Price,2025-11-01,
136,0.0,Decoration Material Price,2025-11-01,
137,0.0,Decoration Material Price,2025-11-01,
138,0.0,Decoration Material Price,2025-11-01,
139,0.0,Decoration Material Price,2025-11-01,
140,0.0,Decoration Material Price,2025-11-01,
141,0.0,Decoration Material Price,2025-11-01,
142,0.0,Decoration Material Price,2025-11-01,
143,0.0,Decoration Material Price,2025-11-01,
144,0.0,Decoration Material Price,2025-11-01,
145,0.0,Decoration Material Price,2025-11-01,
146,0.0,Decoration Material Price,2025-11-01,
147,0.0,Decoration Material Price,2025-11-01,
148,0.0,Decoration Material Price,2025-11-01,
149,0.0,Decoration Material Price,2025-11-01,
150,0.0,Decoration Material Price,2025-11-01,
151,0.0,Decoration Material Price,2025-11-01,
152,0.0,Decoration Material Price,2025-11-01,
153,0.0,Decoration Material Price,2025-11-01,
154,0.0,Decoration Material Price,2025-11-01,
155,0.0,Decoration Material Price,2025-11-01,
156,0.0,Decoration Material Price,2025-11-01,
157,0.0,Decoration Material Price,2025-11-01,
158,0.0,Decoration Material Price,2025-11-01,
159,0.0,Decoration Material Price,2025-11-01,
160,0.0,Decoration Material Price,2025-11-01,
161,0.0,Decoration Material Price,2025-11-01,
162,0.0,Decoration Material Price,2025-11-01,
163,0.0,Decoration Material Price,2025-11-01,
164,0.0,Decoration Material Price,2025-11-01,
165,0.0,Decoration Material Price,2025-11-01,
166,,Minimum Income Guaranteed,2025-11-01,0.0
167,,Minimum Income Guaranteed,2025-11-01,0.0
168,,Minimum Income Guaranteed,2025-11-01,0.0
169,,Minimum Income Guaranteed,2025-11-01,0.0
170,,Minimum Income Guaranteed,2025-11-01,0.0
171,,Minimum Income Guaranteed,2025-11-01,0.0
172,,Minimum Income Guaranteed,2025-11-01,0.0
173,,Minimum Income Guaranteed,2025-11-01,0.0
174,,Minimum Income Guaranteed,2025-11-01,0.0
175,,Minimum Income Guaranteed,2025-11-01,0.0
176,,Minimum Income Guaranteed,2025-11-01,0.0
177,,Minimum Income Guaranteed,2025-11-01,0.0
178,,Minimum Income Guaranteed,2025-11-01,0.0
179,,Minimum Income Guaranteed,2025-11-01,0.0
180,,Minimum Income Guaranteed,2025-11-01,0.0
181,,Minimum Income Guaranteed,2025-11-01,0.0
182,,Minimum Income Guaranteed,2025-11-01,0.0
183,,Minimum Income Guaranteed,2025-11-01,0.0
184,,Minimum Income Guaranteed,2025-11-01,0.0
185,,Minimum Income Guaranteed,2025-11-01,0.0
186,,Minimum Income Guaranteed,2025-11-01,0.0
187,,Minimum Income Guaranteed,2025-11-01,0.0
188,,Minimum Income Guaranteed,2025-11-01,0.0
189,,Minimum Income Guaranteed,2025-11-01,0.0
190,,Minimum Income Guaranteed,2025-11-01,0.0
191,,Minimum Income Guaranteed,2025-11-01,0.0
192,,Minimum Income Guaranteed,2025-11-01,0.0
193,,Minimum Income Guaranteed,2025-11-01,0.0
194,,Minimum Income Guaranteed,2025-11-01,0.0
195,,Minimum Income Guaranteed,2025-11-01,0.0
196,,Minimum Income Guaranteed,2025-11-01,0.0
197,,Minimum Income Guaranteed,2025-11-01,0.0
198,,Minimum Income Guaranteed,2025-11-01,0.0
199,,Minimum Income Guaranteed,2025-11-01,0.0
200,,Minimum Income Guaranteed,2025-11-01,0.0
201,,Minimum Income Guaranteed,2025-11-01,0.0
202,,Minimum Income Guaranteed,2025-11-01,0.0
203,,Minimum Income Guaranteed,2025-11-01,0.0
204,,Minimum Income Guaranteed,2025-11-01,0.0
205,,Minimum Income Guaranteed,2025-11-01,0.0
206,,Minimum Income Guaranteed,2025-11-01,0.0
207,,Minimum Income Guaranteed,2025-11-01,0.0
208,,Minimum Income Guaranteed,2025-11-01,0.0
209,,Minimum Income Guaranteed,2025-11-01,0.0
210,,Minimum Income Guaranteed,2025-11-01,0.0
211,,Minimum Income Guaranteed,2025-11-01,0.0
212,,Minimum Income Guaranteed,2025-11-01,0.0
213,,Minimum Income Guaranteed,2025-11-01,0.0
214,,Minimum Income Guaranteed,2025-11-01,0.0
215,,Minimum Income Guaranteed,2025-11-01,0.0
216,,Minimum Income Guaranteed,2025-11-01,0.0
217,,Minimum Income Guaranteed,2025-11-01,0.0
218,,Minimum Income Guaranteed,2025-11-01,0.0
219,,Minimum Income Guaranteed,2025-11-01,0.0
220,,Minimum Income Guaranteed,2025-11-01,0.0
221,,Minimum Income Guaranteed,2025-11-01,0.0
222,,Minimum Income Guaranteed,2025-11-01,0.0
223,,Minimum Income Guaranteed,2025-11-01,0.0
224,,Minimum Income Guaranteed,2025-11-01,0.0
225,,Minimum Income Guaranteed,2025-11-01,0.0
226,,Minimum Income Guaranteed,2025-11-01,0.0
227,,Minimum Income Guaranteed,2025-11-01,0.0
228,,Minimum Income Guaranteed,2025-11-01,0.0
229,,Minimum Income Guaranteed,2025-11-01,0.0
230,,Minimum Income Guaranteed,2025-11-01,0.0
231,,Minimum Income Guaranteed,2025-11-01,0.0
232,,Minimum Income Guaranteed,2025-11-01,0.0
233,,Minimum Income Guaranteed,2025-11-01,0.0
234,,Minimum Income Guaranteed,2025-11-01,0.0
235,,Minimum Income Guaranteed,2025-11-01,0.0
236,,Minimum Income Guaranteed,2025-11-01,0.0
237,,Minimum Income Guaranteed,2025-11-01,0.0
238,,Minimum Income Guaranteed,2025-11-01,0.0
239,,Minimum Income Guaranteed,2025-11-01,0.0
240,,Minimum Income Guaranteed,2025-11-01,0.0
241,,Minimum Income Guaranteed,2025-11-01,0.0
242,,Minimum Income Guaranteed,2025-11-01,0.0
243,,Minimum Income Guaranteed,2025-11-01,0.0
244,,Minimum Income Guaranteed,2025-11-01,0.0
245,,Minimum Income Guaranteed,2025-11-01,0.0
246,,Minimum Income Guaranteed,2025-11-01,0.0
247,,Minimum Income Guaranteed,2025-11-01,0.0
248,,Minimum Income Guaranteed,2025-11-01,0.0
249,,Minimum Income Guaranteed,2025-11-01,0.0
250,,Minimum Income Guaranteed,2025-11-01,0.0
251,,Minimum Income Guaranteed,2025-11-01,0.0
252,,Minimum Income Guaranteed,2025-11-01,0.0
253,,Minimum Income Guaranteed,2025-11-01,0.0
254,,Minimum Income Guaranteed,2025-11-01,0.0
255,,Minimum Income Guaranteed,2025-11-01,0.0
256,,Minimum Income Guaranteed,2025-11-01,0.0
257,,Minimum Income Guaranteed,2025-11-01,0.0
258,,Minimum Income Guaranteed,2025-11-01,0.0
259,,Minimum Income Guaranteed,2025-11-01,0.0
260,,Minimum Income Guaranteed,2025-11-01,0.0
261,,Minimum Income Guaranteed,2025-11-01,0.0
262,,Minimum Income Guaranteed,2025-11-01,0.0
263,,Minimum Income Guaranteed,2025-11-01,0.0
264,,Minimum Income Guaranteed,2025-11-01,0.0
265,,Minimum Income Guaranteed,2025-11-01,0.0
266,,Minimum Income Guaranteed,2025-11-01,0.0
267,,Minimum Income Guaranteed,2025-11-01,0.0
268,,Minimum Income Guaranteed,2025-11-01,0.0
269,,Minimum Income Guaranteed,2025-11-01,0.0
270,,Minimum Income Guaranteed,2025-11-01,0.0
271,,Minimum Income Guaranteed,2025-11-01,0.0
272,,Minimum Income Guaranteed,2025-11-01,0.0
273,,Minimum Income Guaranteed,2025-11-01,0.0
274,,Minimum Income Guaranteed,2025-11-01,0.0
275,,Minimum Income Guaranteed,2025-11-01,0.0
276,,Minimum Income Guaranteed,2025-11-01,0.0
277,,Minimum Income Guaranteed,2025-11-01,0.0
278,,Minimum Income Guaranteed,2025-11-01,0.0
279,,Minimum Income Guaranteed,2025-11-01,0.0
280,,Minimum Income Guaranteed,2025-11-01,0.0
281,,Minimum Income Guaranteed,2025-11-01,0.0
282,,Minimum Income Guaranteed,2025-11-01,0.0
283,,Minimum Income Guaranteed,2025-11-01,0.0
284,,Minimum Income Guaranteed,2025-11-01,0.0
285,,Minimum Income Guaranteed,2025-11-01,0.0
286,,Minimum Income Guaranteed,2025-11-01,0.0
287,,Minimum Income Guaranteed,2025-11-01,0.0
288,,Minimum Income Guaranteed,2025-11-01,0.0
289,,Minimum Income Guaranteed,2025-11-01,0.0
290,,Minimum Income Guaranteed,2025-11-01,0.0
291,,Minimum Income Guaranteed,2025-11-01,0.0
292,,Minimum Income Guaranteed,2025-11-01,0.0
293,,Minimum Income Guaranteed,2025-11-01,0.0
294,,Minimum Income Guaranteed,2025-11-01,0.0
295,,Minimum Income Guaranteed,2025-11-01,0.0
296,,Minimum Income Guaranteed,2025-11-01,0.0
297,,Minimum Income Guaranteed,2025-11-01,0.0
298,,Minimum Income Guaranteed,2025-11-01,0.0
299,,Minimum Income Guaranteed,2025-11-01,0.0
300,,Minimum Income Guaranteed,2025-11-01,0.0
301,,Minimum Income Guaranteed,2025-11-01,0.0
302,,Minimum Income Guaranteed,2025-11-01,0.0
303,,Minimum Income Guaranteed,2025-11-01,0.0
304,,Minimum Income Guaranteed,2025-11-01,0.0
305,,Minimum Income Guaranteed,2025-11-01,0.0
306,,Minimum Income Guaranteed,2025-11-01,0.0
307,,Minimum Income Guaranteed,2025-11-01,0.0
308,,Minimum Income Guaranteed,2025-11-01,0.0
309,,Minimum Income Guaranteed,2025-11-01,0.0
310,,Minimum Income Guaranteed,2025-11-01,0.0
311,,Minimum Income Guaranteed,2025-11-01,0.0
312,,Minimum Income Guaranteed,2025-11-01,0.0
313,,Minimum Income Guaranteed,2025-11-01,100.0
314,,Minimum Income Guaranteed,2025-11-01,0.0
315,,Minimum Income Guaranteed,2025-11-01,0.0
316,,Minimum Income Guaranteed,2025-11-01,0.0
317,,Minimum Income Guaranteed,2025-11-01,0.0
318,,Minimum Income Guaranteed,2025-11-01,0.0
319,,Minimum Income Guaranteed,2025-11-01,0.0
320,,Minimum Income Guaranteed,2025-11-01,0.0
321,,Minimum Income Guaranteed,2025-11-01,0.0
322,,Minimum Income Guaranteed,2025-11-01,0.0
323,,Minimum Income Guaranteed,2025-11-01,0.0
324,,Minimum Income Guaranteed,2025-11-01,0.0
325,,Minimum Income Guaranteed,2025-11-01,0.0
326,,Minimum Income Guaranteed,2025-11-01,0.0
327,,Minimum Income Guaranteed,2025-11-01,0.0
328,,Minimum Income Guaranteed,2025-11-01,0.0
329,,Minimum Income Guaranteed,2025-11-01,0.0
330,,Minimum Income Guaranteed,2025-11-01,0.0
331,,Minimum Income Guaranteed,2025-11-01,0.0
