,machine learning,term,fetch_date,climate change,cryptocurrency,remote work,electric vehicles
135,,cryptocurrency,2025-10-31,,11.0,,
136,,cryptocurrency,2025-10-31,,13.0,,
137,,cryptocurrency,2025-10-31,,14.0,,
138,,cryptocurrency,2025-10-31,,17.0,,
139,,cryptocurrency,2025-10-31,,15.0,,
140,,cryptocurrency,2025-10-31,,16.0,,
141,,cryptocurrency,2025-10-31,,15.0,,
142,,cryptocurrency,2025-10-31,,19.0,,
143,,cryptocurrency,2025-10-31,,29.0,,
144,,cryptocurrency,2025-10-31,,37.0,,
145,,cryptocurrency,2025-10-31,,40.0,,
146,,cryptocurrency,2025-10-31,,71.0,,
147,,cryptocurrency,2025-10-31,,100.0,,
148,,cryptocurrency,2025-10-31,,92.0,,
149,,cryptocurrency,2025-10-31,,67.0,,
150,,cryptocurrency,2025-10-31,,66.0,,
151,,cryptocurrency,2025-10-31,,56.0,,
152,,cryptocurrency,2025-10-31,,38.0,,
153,,cryptocurrency,2025-10-31,,36.0,,
154,,cryptocurrency,2025-10-31,,40.0,,
155,,cryptocurrency,2025-10-31,,36.0,,
156,,cryptocurrency,2025-10-31,,31.0,,
157,,cryptocurrency,2025-10-31,,11.0,,
158,,cryptocurrency,2025-10-31,,10.0,,
159,,remote work,2025-10-31,,,40.0,
160,,remote work,2025-10-31,,,40.0,
161,,remote work,2025-10-31,,,44.0,
162,,remote work,2025-10-31,,,47.0,
163,,remote work,2025-10-31,,,39.0,
164,,remote work,2025-10-31,,,46.0,
165,,remote work,2025-10-31,,,44.0,
166,,remote work,2025-10-31,,,40.0,
167,,remote work,2025-10-31,,,35.0,
168,,remote work,2025-10-31,,,41.0,
169,,remote work,2025-10-31,,,49.0,
170,,remote work,2025-10-31,,,48.0,
171,,remote work,2025-10-31,,,64.0,
172,,remote work,2025-10-31,,,52.0,
173,,remote work,2025-10-31,,,47.0,
174,,remote work,2025-10-31,,,46.0,
175,,remote work,2025-10-31,,,50.0,
176,,remote work,2025-10-31,,,44.0,
177,,remote work,2025-10-31,,,45.0,
178,,remote work,2025-10-31,,,41.0,
179,,remote work,2025-10-31,,,44.0,
180,,remote work,2025-10-31,,,43.0,
181,,remote work,2025-10-31,,,42.0,
182,,remote work,2025-10-31,,,42.0,
183,,remote work,2025-10-31,,,40.0,
184,,remote work,2025-10-31,,,41.0,
185,,remote work,2025-10-31,,,42.0,
186,,remote work,2025-10-31,,,41.0,
187,,remote work,2025-10-31,,,40.0,
188,,remote work,2025-10-31,,,40.0,
189,,remote work,2025-10-31,,,39.0,
190,,remote work,2025-10-31,,,43.0,
191,,remote work,2025-10-31,,,46.0,
192,,remote work,2025-10-31,,,48.0,
193,,remote work,2025-10-31,,,48.0,
194,,remote work,2025-10-31,,,46.0,
195,,remote work,2025-10-31,,,52.0,
196,,remote work,2025-10-31,,,50.0,
197,,remote work,2025-10-31,,,68.0,
198,,remote work,2025-10-31,,,61.0,
199,,remote work,2025-10-31,,,80.0,
200,,remote work,2025-10-31,,,100.0,
201,,remote work,2025-10-31,,,90.0,
202,,remote work,2025-10-31,,,77.0,
203,,remote work,2025-10-31,,,80.0,
204,,remote work,2025-10-31,,,79.0,
205,,remote work,2025-10-31,,,78.0,
206,,remote work,2025-10-31,,,83.0,
207,,remote work,2025-10-31,,,78.0,
208,,remote work,2025-10-31,,,74.0,
209,,remote work,2025-10-31,,,64.0,
210,,remote work,2025-10-31,,,41.0,
211,,remote work,2025-10-31,,,41.0,
212,,electric vehicles,2025-10-31,,,,33.0
213,,electric vehicles,2025-10-31,,,,32.0
214,,electric vehicles,2025-10-31,,,,39.0
215,,electric vehicles,2025-10-31,,,,36.0
216,,electric vehicles,2025-10-31,,,,36.0
217,,electric vehicles,2025-10-31,,,,35.0
218,,electric vehicles,2025-10-31,,,,36.0
219,,electric vehicles,2025-10-31,,,,31.0
220,,electric vehicles,2025-10-31,,,,29.0
221,,electric vehicles,2025-10-31,,,,32.0
222,,electric vehicles,2025-10-31,,,,34.0
223,,electric vehicles,2025-10-31,,,,35.0
224,,electric vehicles,2025-10-31,,,,37.0
225,,electric vehicles,2025-10-31,,,,33.0
226,,electric vehicles,2025-10-31,,,,35.0
227,,electric vehicles,2025-10-31,,,,36.0
228,,electric vehicles,2025-10-31,,,,36.0
229,,electric vehicles,2025-10-31,,,,34.0
230,,electric vehicles,2025-10-31,,,,40.0
231,,electric vehicles,2025-10-31,,,,37.0
232,,electric vehicles,2025-10-31,,,,37.0
233,,electric vehicles,2025-10-31,,,,39.0
234,,electric vehicles,2025-10-31,,,,35.0
235,,electric vehicles,2025-10-31,,,,33.0
236,,electric vehicles,2025-10-31,,,,31.0
237,,electric vehicles,2025-10-31,,,,34.0
238,,electric vehicles,2025-10-31,,,,35.0
239,,electric vehicles,2025-10-31,,,,33.0
240,,electric vehicles,2025-10-31,,,,36.0
241,,electric vehicles,2025-10-31,,,,34.0
242,,electric vehicles,2025-10-31,,,,33.0
243,,electric vehicles,2025-10-31,,,,39.0
244,,electric vehicles,2025-10-31,,,,45.0
245,,electric vehicles,2025-10-31,,,,36.0
246,,electric vehicles,2025-10-31,,,,38.0
247,,electric vehicles,2025-10-31,,,,38.0
248,,electric vehicles,2025-10-31,,,,37.0
249,,electric vehicles,2025-10-31,,,,39.0
250,,electric vehicles,2025-10-31,,,,45.0
251,,electric vehicles,2025-10-31,,,,49.0
252,,electric vehicles,2025-10-31,,,,76.0
253,,electric vehicles,2025-10-31,,,,100.0
254,,electric vehicles,2025-10-31,,,,90.0
255,,electric vehicles,2025-10-31,,,,81.0
256,,electric vehicles,2025-10-31,,,,92.0
257,,electric vehicles,2025-10-31,,,,80.0
258,,electric vehicles,2025-10-31,,,,74.0
259,,electric vehicles,2025-10-31,,,,77.0
260,,electric vehicles,2025-10-31,,,,74.0
261,,electric vehicles,2025-10-31,,,,70.0
262,,electric vehicles,2025-10-31,,,,54.0
263,,electric vehicles,2025-10-31,,,,30.0
264,,electric vehicles,2025-10-31,,,,32.0
